Brentford,1,1,Newcastle United
Leeds United,1,0,Newcastle United
Burnley,1,1,Newcastle United
Tottenham Hotspur,1,3,Newcastle United
Everton,2,1,Newcastle United
Chelsea,5,1,Newcastle United
West Ham United,1,1,Newcastle United
Wolverhampton Wanderers,0,1,Newcastle United
Crystal Palace,2,1,Newcastle United
Southampton,1,0,Newcastle United
Watford,0,1,Newcastle United
Aston Villa,1,1,Newcastle United
Aston Villa,2,1,Manchester United
Aston Villa,2,1,Brighton and Hove Albion
Aston Villa,1,5,Manchester City
Aston Villa,0,1,Norwich City
Aston Villa,1,0,Brentford
Aston Villa,0,0,Leeds United
Aston Villa,0,1,Burnley
Aston Villa,0,1,Tottenham Hotspur
Aston Villa,2,1,Everton
Aston Villa,1,1,Chelsea
Aston Villa,1,1,West Ham United
Aston Villa,1,1,Wolverhampton Wanderers
Aston Villa,1,0,Crystal Palace
Aston Villa,2,1,Southampton
Aston Villa,0,2,Watford
Newcastle United,1,0,Aston Villa
Manchester United,1,0,Aston Villa
Brighton and Hove Albion,1,1,Aston Villa
Manchester City,1,1,Aston Villa
Norwich City,1,2,Aston Villa
Brentford,0,1,Aston Villa
Leeds United,1,1,Aston Villa
Burnley,2,0,Aston Villa
Tottenham Hotspur,2,1,Aston Villa
Everton,0,0,Aston Villa
Chelsea,1,1,Aston Villa
West Ham United,0,1,Aston Villa
Wolverhampton Wanderers,1,1,Aston Villa
Crystal Palace,1,0,Aston Villa
Southampton,0,1,Aston Villa
Watford,0,1,Aston Villa
Leicester City,0,1,Aston Villa
Leicester City,2,1,Newcastle United
Leicester City,1,1,Manchester United
Leicester City,1,0,Brighton and Hove Albion
Leicester City,0,0,Manchester City
Leicester City,1,1,Norwich City
Leicester City,0,0,Brentford
Leicester City,3,0,Leeds United
Leicester City,2,0,Burnley
Leicester City,1,1,Tottenham Hotspur
Leicester City,1,1,Everton
Leicester City,1,3,Chelsea
Leicester City,3,3,West Ham United
Leicester City,0,3,Wolverhampton Wanderers
Leicester City,0,0,Crystal Palace
Leicester City,1,1,Southampton
Leicester City,0,1,Watford
Aston Villa,2,1,Leicester City
Newcastle United,1,1,Leicester City
Manchester United,1,2,Leicester City
Brighton and Hove Albion,1,3,Leicester City
Manchester City,3,1,Leicester City
Norwich City,0,3,Leicester City
Brentford,1,2,Leicester City
Leeds United,0,2,Leicester City
Burnley,2,4,Leicester City
Tottenham Hotspur,2,1,Leicester City
Everton,0,1,Leicester City
Chelsea,1,2,Leicester City
West Ham United,1,2,Leicester City
Wolverhampton Wanderers,1,1,Leicester City
Crystal Palace,1,4,Leicester City
Southampton,0,1,Leicester City
Watford,1,1,Leicester City
Liverpool,2,1,Leicester City
Liverpool,1,1,Aston Villa
Liverpool,2,1,Newcastle United
Liverpool,2,1,Manchester United
Liverpool,1,1,Brighton and Hove Albion
Liverpool,1,1,Manchester City
Liverpool,1,0,Norwich City
Liverpool,5,1,Brentford
Liverpool,1,0,Leeds United
Liverpool,6,1,Burnley
Liverpool,0,2,Tottenham Hotspur
Liverpool,2,0,Everton
Liverpool,0,2,Chelsea
Liverpool,2,0,West Ham United
Liverpool,2,3,Wolverhampton Wanderers
Liverpool,2,1,Crystal Palace
Liverpool,5,0,Southampton
Liverpool,2,2,Watford
Leicester City,1,2,Liverpool
Aston Villa,2,2,Liverpool
Newcastle United,2,1,Liverpool
Manchester United,1,2,Liverpool
Brighton and Hove Albion,2,2,Liverpool
Manchester City,1,2,Liverpool
Norwich City,0,1,Liverpool
Brentford,0,6,Liverpool
Leeds United,1,2,Liverpool
Burnley,2,2,Liverpool
Tottenham Hotspur,2,1,Liverpool
Everton,1,0,Liverpool
Chelsea,2,2,Liverpool
West Ham United,1,1,Liverpool
Wolverhampton Wanderers,2,0,Liverpool
Crystal Palace,1,2,Liverpool
Southampton,2,4,Liverpool
Watford,0,7,Liverpool
Arsenal,1,0,Liverpool
Arsenal,1,1,Leicester City
Arsenal,1,1,Aston Villa
Arsenal,1,1,Newcastle United
Arsenal,1,1,Manchester United
Arsenal,3,0,Brighton and Hove Albion
Arsenal,1,4,Manchester City
Arsenal,1,1,Norwich City
Arsenal,4,2,Brentford
Arsenal,2,0,Leeds United
Arsenal,4,1,Burnley
Arsenal,1,2,Tottenham Hotspur
Arsenal,1,1,Everton
Arsenal,1,0,Chelsea
Arsenal,1,2,West Ham United
Arsenal,1,1,Wolverhampton Wanderers
Arsenal,3,1,Crystal Palace
Arsenal,1,1,Southampton
Arsenal,2,2,Watford
Liverpool,2,1,Arsenal
Leicester City,1,3,Arsenal
Aston Villa,2,1,Arsenal
Newcastle United,1,2,Arsenal
Manchester United,2,1,Arsenal
Brighton and Hove Albion,0,3,Arsenal
Manchester City,3,0,Arsenal
Norwich City,1,1,Arsenal
Brentford,1,1,Arsenal
Leeds United,0,0,Arsenal
Burnley,1,1,Arsenal
Tottenham Hotspur,2,3,Arsenal
Everton,1,1,Arsenal
Chelsea,2,3,Arsenal
West Ham United,2,1,Arsenal
Wolverhampton Wanderers,0,3,Arsenal
Crystal Palace,1,2,Arsenal
Southampton,0,1,Arsenal
Watford,0,1,Arsenal
